DATAFLOW,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,ITA,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2025-Q3,461471.7,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,ITA,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2025-Q2,450726.4,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,ITA,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2025-Q1,428673.1,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,ITA,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2024-Q4,481781.7,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2013-Q1,3589.2,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2012-Q4,3931.3,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2012-Q3,3765.6,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2012-Q2,3674.8,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2012-Q1,3230.4,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2011-Q4,3560.7,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2011-Q3,3519.7,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2011-Q2,3335.2,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2011-Q1,2928.2,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,NLD,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2021-Q2,191942,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,NLD,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2021-Q1,179139,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,NLD,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2020-Q4,167078,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,NLD,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2020-Q3,160494,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,NLD,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2020-Q2,153217,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,NLD,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2020-Q1,160981,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2002-Q1,429709,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2001-Q4,466572,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2001-Q3,450520,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2001-Q2,432787,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2001-Q1,432513,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2000-Q4,451052,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2000-Q3,434403,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2000-Q2,422924,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2000-Q1,421519,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2021-Q4,806108,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2021-Q3,770151,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2021-Q2,729634,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2021-Q1,736005,,,F,1,A,6,EUR
